"Bronagh Hinds",,,,
"Cara McShane","Q76119871","2019 United Kingdom general election","North Antrim","Sinn Féin"
"Carol Freeman",,,,
"Irwin Armstrong",,,,
"Jackson Minford",,,,
"James McGarry",,,,
"Jayne Dunlop",,,,
"John Dougan",,,,
"John Williams",,,,
"Lexie Scott",,,,
"Lyle Cubitt",,,,
"Malcolm Samuel","Q98266448","1987 United Kingdom general election","East Londonderry","Green Party"
"Margaret McKillop","Q98263513","2015 United Kingdom general election","East Antrim","Social Democratic and Labour Party"
"Margaret McKillop","Q98263513","2017 United Kingdom general election","East Antrim","Social Democratic and Labour Party"
"Mary McAlister",,,,
"Patricia O'Lynn","Q76130678","2019 United Kingdom general election","North Antrim","Alliance Party of Northern Ireland"
"Patrick McHugh",,,,
"Pearse McMahon",,,,
"Robert Hill","Q63854185","2019 European Parliament election in Northern Ireland","Northern Ireland","UK Independence Party"
"Rodney McCune","Q98263744","2010 United Kingdom general election","East Antrim","Ulster Conservatives and Unionists"
"Samuel Craig McElroy",,,,
"Sean Reagan",,,,
"Stephen Palmer","Q76729351","2019 United Kingdom general election","North Antrim","independent politician"
"Thomas Palmer",,,,
"Thomas Sowler",,,,
"Timothy Gaston",,,,
"William Huston Dodd",,,,
"William James Baxter",,,,
"William Macafee",,,,
"William Pirrie Sinclair",,,,
