id,name,party,partyLabel,votes,election,electionLabel,ranking
Q1726897,Edward MacNaghten,Q6070653,Irish Conservative Party,3233,Q3397257,1885 general election,1
,William Pirrie Sinclair,Q622441,Liberal Party (UK),2149,Q3397257,1885 general election,2
Q16031755,John Pinkerton,Q327591,Independent (politician),1915,Q3397257,1885 general election,3
Q1726897,Edward MacNaghten,Q6071313,Irish Unionist Party,4429,Q7888016,1886 general election,1
,Samuel Craig McElroy,Q622441,Liberal Party (UK),1910,Q7888016,1886 general election,2
Q7526238,Charles Lewis,Q6071313,Irish Unionist Party,3858,Q16933910,1887 North Antrim by-election,1
,Samuel Craig McElroy,Q622441,Liberal Party (UK),2526,Q16933910,1887 North Antrim by-election,2
Q15039997,William Atcheson Traill,Q6017344,Independent Unionist,424,Q16933910,1887 North Antrim by-election,3
Q26754457,Charles Connor,Q6071313,Irish Unionist Party,4666,Q7888018,1892 general election,1
,William Huston Dodd,Q622441,Liberal Party (UK),2027,Q7888018,1892 general election,2
Q7344809,Robert Glendinning,Q7381900,Russellite Unionist,3757,Q3076606,1906 general election,1
Q7529698,William Moore,Q6071313,Irish Unionist Party,2969,Q3076606,1906 general election,2
Q7175169,Peter Kerr-Smiley,Q6071313,Irish Unionist Party,3519,Q3075752,January 1910 general election,1
,William James Baxter,Q622441,Liberal Party (UK),3135,Q3075752,January 1910 general election,2
Q7175169,Peter Kerr-Smiley,Q6071313,Irish Unionist Party,3557,Q3076583,December 1910 general election,1
,William Macafee,Q622441,Liberal Party (UK),2974,Q3076583,December 1910 general election,2
Q7175169,Peter Kerr-Smiley,Q6071313,Irish Unionist Party,9621,Q905063,1918 general election,1
Q29135433,Patrick McCarry,Q76382,Sinn Féin,2673,Q905063,1918 general election,2
Q7181222,Phelim O'Neill,Q841045,Ulster Unionist Party,41763,Q918412,1955 general election,1
,John Dougan,Q76382,Sinn Féin,6809,Q918412,1955 general election,2
Q15039914,Henry Clark,Q841045,Ulster Unionist Party,42807,Q918420,1959 general election,1
,John Dougan,Q76382,Sinn Féin,2280,Q918420,1959 general election,2
Q15039914,Henry Clark,Q841045,Ulster Unionist Party,40372,Q220208,1964 general election,1
Q7459483,Seán Caughey,Q16847164,Independent Republican (Ireland),4424,Q220208,1964 general election,2
Q15039914,Henry Clark,Q841045,Ulster Unionist Party,31927,Q918430,1966 general election,1
Q28359839,Richard Moore,Q7879983,Ulster Liberal Party,8941,Q918430,1966 general election,2
Q296597,Ian Paisley,Q7251625,Protestant Unionist Party,24130,Q918442,1970 general election,1
Q15039914,Henry Clark,Q841045,Ulster Unionist Party,21451,Q918442,1970 general election,2
,Patrick McHugh,Q7058511,Northern Ireland Labour Party,6476,Q918442,1970 general election,3
Q583571,Alasdair McDonnell,Q6972240,National Democratic Party (Northern Ireland),4312,Q918442,1970 general election,4
Q28359839,Richard Moore,Q7879983,Ulster Liberal Party,2269,Q918442,1970 general election,5
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,41282,Q119524,February 1974 general election,1
Q7668225,T. E. Utley,Q7886826,Pro-Assembly Unionist,13651,Q119524,February 1974 general election,2
,Mary McAlister,Q175443,Social Democratic and Labour Party,10056,Q119524,February 1974 general election,3
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,43186,Q918508,October 1974 general election,1
Q5933073,Hugh Wilson,Q244927,Alliance Party of Northern Ireland,8689,Q918508,October 1974 general election,2
,Mary McAlister,Q175443,Social Democratic and Labour Party,7616,Q918508,October 1974 general election,3
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,33941,Q918450,1979 general election,1
Q6181178,Jeremy Burchill,Q841045,Ulster Unionist Party,15398,Q918450,1979 general election,2
